District,Code,Representative,,Pronunciation,,Born,Religion,First,2014 US House,,Cook PVI,,2012 President,,,,2008 President,,,,2014 Two-Party,,2012 Two-Party,,2010 Census Adult Pop. Demographics,,,,,,Special Elections,,,2014 House Vote,,,,2012 House Vote,,Special Elections,,,2012 Presidential Election,,,2008 Presidential Election,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,,,,,2010 Census Adult Pop. Demographics,,,,,,2012 President,,,,Downballot Avg,,,Partisan Voting Index,,,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,,2012 President,,Downballot Average,
,,First Name,Last Name,Phonetic,IPA,,,Elected,Dem,Rep,,,Obama,Romney,12PVI,,Obama,McCain,08PVI,,Dem,Rep,Dem,Rep,White,Black,Hisp.,Asian,Native,Other,Dem,Rep,,Total,Dem,Rep,Other,Dem,Rep,Dem,Rep,raw CPVI,Obama,Romney,raw12PVI,Obama,McCain,raw08PVI,Total,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total,White (NH),Black (NH),Hispanic (any race),Asian and Pacific Islander (NH),Native American (NH),Other (NH),,,State,White,Black,Hisp.,Asian,Native,Other,Obama,Romney,12PVI,,Dem,Rep,,2012 raw,,Two-Party Vote,,District,Total,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total,White (NH),Black (NH),Hispanic (any race),Asian and Pacific Islander (NH),Native American (NH),Other (NH),Obama,Romney,Dem,Rep
Texas 2nd,TX-02,Ted,Poe,(TED POH),/tɛd poʊ/,1948,Churches of Christ,2004,29.6%,67.9%,R+,16,36.1%,63.9%,R+,16,37.7%,62.3%,R+,16,30.4%,69.6%,33.5%,66.5%,54.3%,9.2%,27.8%,7.3%,0.3%,1.2%,,,363,"150,026","44,462","101,936","3,628",80512,159664,,,-15.9,"88,751","157,094",-15.9,"91,087","150,665",-16.0,723642,362572,69835,226797,50935,1709,11794,535783,291002,49043,148729,39188,1350,6471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 3rd,TX-03,Sam,Johnson,(SAM JAHN-suhn),/sæm 'dʒɑn.sən/,1930,Methodist,1991*,0%,82.0%,R+,17,34.7%,65.3%,R+,17,37.8%,62.2%,R+,16,0%,100%,0%,100%,65.3%,8.1%,12.8%,11.8%,0.4%,1.6%,,,364,"138,280",0,"113,404","24,876",0,187180,,,-16.6,"93,290","175,383",-17.2,"100,440","165,158",-15.9,701227,437406,58722,101226,84802,2789,16282,501350,327172,40578,63967,59405,1993,8235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 4th,TX-04,John,Ratcliffe,(JAHN RAT-kliff),/dʒɑn 'ɹæt.klɪf/,1965,Roman Catholic,2014,0%,100%,R+,25,25.1%,74.9%,R+,27,29.6%,70.4%,R+,24,0%,100%,24.8%,75.2%,77.1%,10.3%,9.8%,0.9%,0.8%,1.1%,,,365,"115,085",0,"115,085",0,60214,182679,,,-25.5,"63,559","189,554",-26.9,"75,910","180,772",-24.1,704405,519963,74839,85956,6406,5385,11856,526203,405741,54297,51330,4837,4022,5976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 5th,TX-05,Jeb,Hensarling,(JEB HEN-ser-ling),/dʒɛb 'hɛn.səɹ.lɪŋg/,1957,Episcopalian,2002,0%,85.4%,R+,17,34.7%,65.3%,R+,17,37.7%,62.3%,R+,16,0%,100%,34.0%,66.0%,62.5%,13.3%,20.9%,1.8%,0.4%,1.0%,,,366,"104,262",0,"88,998","15,264",69178,134091,,,-16.6,"73,085","137,239",-17.2,"83,216","137,698",-16.0,687716,395476,94652,172350,12674,2883,9681,503906,314945,67157,105195,9294,2250,5065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 6th,TX-06,Joe,Barton,(JOH BAR-tn),/dʒoʊ 'bɑɹ.ʔn/,1949,Methodist,1984,36.4%,61.1%,R+,11,41.3%,58.7%,R+,11,42.5%,57.5%,R+,11,37.3%,62.7%,40.3%,59.7%,58.5%,17.0%,17.9%,4.9%,0.4%,1.3%,,,367,"150,996","55,027","92,334","3,635",98053,145019,,,-10.9,"103,444","146,985",-10.7,"109,854","148,503",-11.2,694650,374470,125770,145387,33268,2590,13165,499013,292050,84755,89103,24578,1956,6571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 7th,TX-07,John,Culberson,(JAHN KUHL-ber-suhn),/dʒɑn 'kʌl.bəɹ.sən/,1956,Methodist,2000,34.5%,63.3%,R+,13,39.2%,60.8%,R+,13,40.8%,59.2%,R+,13,35.3%,64.7%,37.5%,62.5%,50.9%,10.7%,27.1%,9.6%,0.2%,1.5%,,,368,"143,219","49,478","90,606","3,135",85553,142793,,,-12.9,"92,499","143,631",-12.8,"96,866","140,692",-12.9,699182,330675,77731,211163,65030,1331,13252,519856,264568,55558,141108,49973,1018,7631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 8th,TX-08,Kevin,Brady,(KEH-vin BRAY-dee),/'kɛ.vɪn 'bɹeɪ.ɾi/,1955,Roman Catholic,1996,0%,89.3%,R+,29,22.0%,78.0%,R+,30,26.4%,73.6%,R+,27,0%,100%,20.8%,79.2%,71.8%,8.3%,16.6%,2.0%,0.4%,1.0%,,,369,"140,013",0,"125,066","14,947",51051,194043,,,-28.6,"55,273","195,742",-29.9,"61,357","171,408",-27.3,694659,476580,56090,135278,14239,2551,9921,513910,368897,42412,85144,10386,1961,5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 9th,TX-09,Al,Green,(AL GREEN),/æl gɹin/,1947,Southern Baptist,2004,90.8%,0%,D+,25,78.7%,21.3%,D+,27,76.5%,23.5%,D+,23,100%,0%,79.9%,20.1%,13.9%,38.2%,34.0%,12.5%,0.2%,1.2%,,,370,"86,003","78,109",0,"7,894",144075,36139,,,24.7,"145,332","39,392",26.7,"144,707","44,520",22.8,696349,79829,268321,259715,77370,1053,10061,499324,69338,190957,169698,62363,772,6196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 10th,TX-10,Michael,McCaul,(MY-kuhl muh-KAWL),/'maɪ.kəl mə.'kɔl/,1962,Roman Catholic,2004,34.1%,62.2%,R+,11,39.6%,60.4%,R+,12,43.1%,56.9%,R+,11,35.4%,64.6%,37.5%,62.5%,61.8%,9.5%,22.8%,4.4%,0.3%,1.2%,,,371,"176,460","60,243","109,726","6,491",95710,159783,,,-11.5,"104,839","159,714",-12.3,"112,866","148,867",-10.6,689685,397326,67060,181716,30551,1905,11127,507359,313669,48316,115513,22404,1487,5970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 11th,TX-11,Mike,Conaway,(MIKE KAHN-uh-way),/maɪk 'kɑ.nə.weɪ/,1948,Southern Baptist,2004,0%,90.3%,R+,31,19.8%,80.2%,R+,32,23.4%,76.6%,R+,30,0%,100%,19.1%,80.9%,66.2%,3.3%,28.4%,0.8%,0.4%,0.8%,,,372,"119,574",0,"107,939","11,635",41970,177742,,,-31.2,"45,070","182,355",-32.1,"56,145","184,238",-30.3,716106,440232,24198,235860,5313,3058,7445,537073,355583,17930,152538,4106,2398,4518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 12th,TX-12,Kay,Granger,(KAY GRAYN-jer),/keɪ 'gɹeɪn.dʒəɹ/,1943,Methodist,1996,26.3%,71.3%,R+,19,32.2%,67.8%,R+,20,35.8%,64.2%,R+,18,26.9%,73.1%,27.3%,72.7%,70.7%,7.2%,17.3%,3.1%,0.5%,1.2%,,,373,"158,730","41,757","113,186","3,787",66080,175649,,,-18.9,"79,147","166,992",-19.8,"89,718","161,030",-17.9,692446,460918,52742,142814,20927,3373,11672,514594,363918,37107,88818,15865,2622,6264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 13th,TX-13,Mac,Thornberry,(MACK THORN-bear-ee),/mæk 'θɔɹn.bɛ.ɹi/,1958,Presbyterian,1994,12.8%,84.3%,R+,32,18.8%,81.2%,R+,33,22.4%,77.6%,R+,31,13.2%,86.8%,0%,100%,71.2%,5.2%,20.3%,1.6%,0.6%,1.0%,,,374,"131,451","16,822","110,842","3,787",0,187775,,,-32.2,"42,521","184,104",-33.2,"54,855","189,600",-31.2,697818,466233,36270,169542,11664,4324,9785,518568,369280,27066,105177,8457,3271,5317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 14th,TX-14,Randy,Weber,(RAN-dee WEB-er),/'ɹæn.di 'wɛ.bəɹ/,1953,Baptist,2012,36.1%,61.9%,R+,12,40.0%,60.0%,R+,12,42.5%,57.5%,R+,11,36.8%,63.2%,45.5%,54.5%,56.9%,19.8%,19.2%,2.8%,0.4%,1.0%,,,375,"145,698","52,545","90,116","3,037",109697,131460,,,-11.6,"97,958","147,213",-12.0,"102,902","139,304",-11.2,699852,372487,141256,154676,19462,2350,9621,524374,298262,103606,100850,14630,1888,5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 15th,TX-15,Rubén,Hinojosa,"(roo-BEN ee-noh-HOH-suh) [R is trilled, O is unrounded]",/ru.'bɛn ˌi.no.'ho.sə/,1940,Roman Catholic,1996,54.0%,43.3%,D+,5,58.0%,42.0%,D+,6,57.8%,42.2%,D+,4,55.5%,44.5%,62.3%,37.7%,19.4%,1.7%,77.3%,1.2%,0.1%,0.4%,,,376,"90,184","48,708","39,016","2,460",89296,54056,,,5.1,"86,943","62,884",6.1,"83,924","61,282",4.1,693850,112499,10009,560294,7323,833,2892,466070,90311,7833,360207,5402,630,1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 16th,TX-16,Beto,O'Rourke,(BEH-toh oh-RORK) [uses an alveolar stop /t/ instead of flap /ɾ/],/'bɛ.toʊ oʊ.'ɹɔɹk/,1972,Roman Catholic,2012,67.5%,29.2%,D+,12,65.0%,35.0%,D+,13,65.1%,34.9%,D+,11,69.8%,30.2%,66.5%,33.5%,17.1%,3.0%,77.5%,1.4%,0.3%,0.7%,,,377,"73,105","49,338","21,324","2,443",101403,51043,,,12.2,"100,993","54,315",13.1,"109,387","58,764",11.4,692582,102246,20224,554318,8258,1673,5863,489548,83767,14907,379571,6655,1290,3358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 17th,TX-17,Bill,Flores,(BILL FLOR-iss),/bɪl 'flɔ.ɹɪs/,1954,Southern Baptist,2010,32.4%,64.6%,R+,13,38.5%,61.5%,R+,14,41.4%,58.6%,R+,12,33.4%,66.6%,0%,100%,62.1%,12.4%,19.9%,4.2%,0.3%,1.1%,,,378,"132,865","43,049","85,807","4,009",0,143284,,,-12.9,"84,531","135,309",-13.5,"95,884","135,738",-12.3,702420,404411,93389,163935,27921,1926,10838,534916,332332,66455,106291,22306,1533,5999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 18th,TX-18,Shelia,Jackson Lee,(SHEE-luh JACK-suhn LEE),/'ʃi.lə 'dʒæk.sən li/,1950,Seventh-Day Adventist,1994,71.8%,24.8%,D+,24,76.9%,23.1%,D+,25,77.0%,23.0%,D+,23,74.4%,25.6%,76.9%,23.1%,20.0%,41.0%,34.0%,3.7%,0.2%,1.0%,,,379,"106,010","76,097","26,249","3,664",146223,44015,,,24.1,"150,129","44,991",25.0,"150,733","45,069",23.3,678812,112335,275335,259219,22600,1192,8131,492316,98645,201998,167403,18263,946,5061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 19th,TX-19,Randy,Neugebauer,(RAN-dee NAW-guh-bow-er) [OW as in cow],/'ɹæn.di 'nɔ.gə.ˌbaʊ.əɹ/,1949,Southern Baptist,2002,18.4%,77.1%,R+,26,25.4%,74.6%,R+,27,28.2%,71.8%,R+,26,19.3%,80.7%,0%,100%,62.2%,5.7%,29.4%,1.4%,0.4%,0.9%,,,380,"115,825","21,325","89,326","5,174",0,163239,,,-26.0,"54,461","160,141",-26.6,"66,122","168,553",-25.5,700602,402548,40888,237388,8923,2579,8276,524057,325744,30090,154297,7238,2048,4640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 20th,TX-20,Joaquin,Castro,"(wah-KEEN KAH-stro) [R is trilled, O unrounded]",/wɑ.'kin 'kɑ.stro/,1974,Roman Catholic,2012,75.7%,0%,D+,6,59.8%,40.2%,D+,8,58.9%,41.1%,D+,5,100%,0%,65.6%,34.4%,26.6%,4.6%,64.7%,2.8%,0.2%,1.1%,,,381,"87,964","66,554",0,"21,410",119032,62376,,,6.5,"110,663","74,540",7.8,"115,579","80,667",5.2,690154,160686,30256,471362,17201,1408,9241,503169,133794,23311,325369,13904,1162,5629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 21st,TX-21,Lamar,Smith,(luh-MAR SMITH),/'lə.mɑɹ smɪθ/,1947,Christian Scientist,1986,0%,71.8%,R+,12,38.8%,61.2%,R+,13,42.8%,57.2%,R+,11,0%,100%,36.9%,63.1%,66.8%,3.3%,25.0%,3.3%,0.3%,1.3%,,,382,"188,996",0,"135,660","53,336",109326,187015,,,-12.0,"119,220","188,241",-13.2,"133,581","178,531",-10.9,681608,431913,23008,191587,21680,2061,11359,539982,360906,17714,134775,17610,1734,7243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 22nd,TX-22,Pete,Olson,(PEET OHL-suhn),/pit 'oʊl.sən/,1962,United Methodist,2008,31.6%,66.5%,R+,15,37.1%,62.9%,R+,15,39.1%,60.9%,R+,15,32.2%,67.8%,33.3%,66.7%,48.2%,11.9%,22.1%,16.1%,0.2%,1.4%,,,383,"151,566","47,844","100,861","2,861",80203,160668,,,-14.7,"93,582","158,452",-14.8,"91,137","142,073",-14.6,697318,315103,85562,170341,110977,1627,13708,494113,238141,58990,109325,79484,1128,7045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 23rd,TX-23,Will,Hurd,(WILL HURD),/wɪl hɜɹd/,1977,Christian,2014,47.7%,49.8%,R+,3,48.6%,51.4%,R+,3,50.3%,49.7%,R+,3,48.9%,51.1%,52.5%,47.5%,28.5%,3.0%,66.2%,1.3%,0.3%,0.6%,,,384,"115,429","55,037","57,459","2,933",96676,87547,,,-3.3,"94,414","99,672",-3.3,"96,871","95,679",-3.4,708786,178386,19772,494151,8277,2448,5752,495646,141227,15098,328070,6327,1703,3221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 24th,TX-24,Kenny,Marchant,(KEN-ee MAR-tchunt),/'kɛ.ni 'mɑɹ.tʃənt/,1951,Nazarene Christian,2004,32.3%,65.0%,R+,13,38.6%,61.4%,R+,13,41.0%,59.0%,R+,13,33.2%,66.8%,37.1%,62.9%,57.3%,9.6%,20.4%,10.7%,0.4%,1.5%,,,385,"144,073","46,548","93,712","3,813",87645,148586,,,-13.0,"94,634","150,547",-13.4,"105,822","152,453",-12.7,692820,369026,67928,163450,75547,2548,14321,523431,300066,50162,106984,56185,1959,8075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 25th,TX-25,Roger,Williams,(RAH-jer WEE-yuhmz),/'ɹɑ.dʒəɹ 'wi.jəmz/,1949,Christian,2012,36.2%,60.2%,R+,12,38.7%,61.3%,R+,13,43.3%,56.7%,R+,10,37.6%,62.4%,39.1%,60.9%,72.8%,6.9%,15.4%,3.0%,0.4%,1.4%,,,386,"177,883","64,463","107,120","6,300",98827,154245,,,-11.8,"102,433","162,279",-13.3,"117,402","153,998",-10.4,720956,501121,51446,130598,20534,2860,14397,536383,390735,37261,82717,15929,2165,7576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 26th,TX-26,Michael,Burgess,(MY-kuhl BER-jess),/'maɪ.kəl 'bɜɹ.dʒɛs/,1950,Anglican,2002,0%,82.7%,R+,20,31.2%,68.8%,R+,21,35.2%,64.8%,R+,18,0%,100%,29.6%,70.4%,71.5%,6.7%,14.8%,5.0%,0.5%,1.5%,,,387,"141,470",0,"116,944","24,526",74237,176642,,,-19.6,"80,828","177,941",-20.7,"90,791","166,877",-18.5,697278,477663,47134,119418,35223,3420,14420,496578,355054,33163,73639,25067,2448,7207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 27th,TX-27,Blake,Farenthold,(BLAYK FAIR-en-thawld),/bleɪk 'fɛ.ɹɛn.θɔld/,1961,Episcopalian,2010,33.7%,63.6%,R+,13,38.7%,61.3%,R+,13,40.5%,59.5%,R+,13,34.6%,65.4%,40.9%,59.1%,47.3%,5.1%,45.1%,1.5%,0.3%,0.8%,,,388,"131,047","44,152","83,342","3,553",83395,120684,,,-13.2,"83,157","131,821",-13.3,"91,083","133,839",-13.2,704891,301421,36021,348745,9886,1862,6956,520958,246166,26768,234901,7608,1493,4022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 28th,TX-28,Henry,Cuellar,(HEN-ree KWAY-ahr) [Second R is trilled],/'hɛn.ɹi 'kweɪ.ɑr/,1955,Roman Catholic,2004,82.1%,0%,D+,7,60.9%,39.1%,D+,9,58.7%,41.3%,D+,5,100%,0%,69.5%,30.5%,21.1%,4.1%,72.9%,1.1%,0.2%,0.6%,,,389,"76,136","62,508",0,"13,628",112456,49309,,,7.0,"101,846","65,367",8.9,"92,557","65,066",5.0,703920,125348,27911,537837,6738,979,5107,477030,100833,19779,347567,5241,781,2829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 29th,TX-29,Gene,Green,(JEEN GREEN),/dʒin gɹin/,1947,Methodist,1992,89.5%,0%,D+,12,66.6%,33.4%,D+,15,62.7%,37.3%,D+,9,100%,0%,100%,0%,14.7%,10.0%,72.8%,1.8%,0.2%,0.5%,,,390,"46,143","41,321",0,"4,822",86053,0,,,11.8,"75,720","37,909",14.7,"70,286","41,843",9.0,696907,81252,67088,532612,10863,946,4146,470400,69200,46888,342595,8519,722,2476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 30th,TX-30,Eddie Bernice,Johnson,(EH-dee ber-NEES JAHN-suhn),/'ɛ.di bəɹ.'nis 'dʒɑn.sən/,1935,Baptist,1992,87.9%,0%,D+,27,80.2%,19.8%,D+,28,78.8%,21.2%,D+,25,100%,0%,80.6%,19.4%,21.3%,44.7%,30.8%,2.0%,0.3%,0.9%,,,391,"105,793","93,041",0,"12,752",171059,41222,,,26.7,"175,637","43,333",28.2,"175,237","47,144",25.1,707252,122052,312089,250571,12519,1874,8147,501433,106974,224226,154296,9805,1481,4651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 31st,TX-31,John,Carter,(JAHN CAR-ter),/dʒɑn 'kɑɹ.ɾəɹ/,1941,Lutheran,2002,32.0%,64.0%,R+,12,39.1%,60.9%,R+,13,43.3%,56.7%,R+,10,33.3%,66.7%,36.3%,63.7%,63.6%,10.5%,19.5%,4.3%,0.4%,1.7%,,,392,"143,028","45,715","91,607","5,706",82977,145348,,,-11.7,"92,842","144,634",-12.9,"103,359","135,601",-10.4,697292,415111,75808,157062,29353,2626,17332,500711,318431,52498,97882,21508,2021,8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 32nd,TX-32,Pete,Sessions,(PEET SEH-shuhnz),/pit 'sɛ.ʃənz/,1955,Methodist,2002,35.4%,61.8%,R+,10,42.1%,57.9%,R+,10,44.3%,55.7%,R+,9,36.4%,63.6%,40.4%,59.6%,57.7%,11.4%,21.9%,7.3%,0.3%,1.3%,,,393,"156,096","55,325","96,495","4,276",99288,146653,,,-9.6,"106,563","146,420",-9.8,"117,231","147,226",-9.4,703008,372416,85748,180602,50022,2393,11827,527032,304242,60015,115579,38575,1841,6780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 33rd,TX-33,Marc,Veasey,(MARK VEE-see),/mɑɹk 'vi.si/,1971,Christian,2012,86.5%,0%,D+,18,72.6%,27.4%,D+,21,69.1%,30.9%,D+,15,100%,0%,73.8%,26.2%,19.9%,16.9%,59.7%,2.4%,0.3%,0.8%,,,394,"50,592","43,769",0,"6,823",85114,30252,,,18.1,"86,686","32,641",20.7,"90,180","40,290",15.4,703224,110752,111975,456788,15121,1933,6655,475960,94662,80378,284093,11539,1504,3784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 34th,TX-34,Filemon,Vela,(FEE-lay-muhn VEH-luh),/'fi.le.mən 'vɛ.lə/,1963,Roman Catholic,2012,59.5%,38.6%,D+,8,61.3%,38.7%,D+,9,60.6%,39.4%,D+,7,60.7%,39.3%,63.1%,36.9%,18.2%,1.4%,79.3%,0.7%,0.1%,0.3%,,,395,"79,877","47,503","30,811","1,563",89606,52448,,,8.1,"90,885","57,303",9.4,"90,178","58,707",6.9,694345,103425,7818,576009,4230,780,2083,476984,86991,6624,378169,3310,596,1294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 35th,TX-35,Lloyd,Doggett,(LOYD DAW-guht),/lɔɪd 'dɔ.gət/,1946,Methodist,1994,62.5%,33.3%,D+,11,64.5%,35.5%,D+,13,64.0%,36.0%,D+,10,65.2%,34.8%,66.6%,33.4%,29.8%,9.6%,57.7%,1.6%,0.3%,1.1%,,,396,"96,225","60,124","32,040","4,061",105626,52894,,,11.5,"105,545","57,989",12.6,"111,790","62,764",10.4,681404,174918,63659,423076,9492,1692,8567,490339,146243,46859,282682,8013,1337,5205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 36th,TX-36,Brian,Babin,(BRAHY-uhn BAB-in),/'bɹa.ən 'bæ.bɪn/,1948,Southern Baptist,2014,22.1%,76.0%,R+,25,26.0%,74.0%,R+,26,29.8%,70.2%,R+,24,22.5%,77.5%,27.3%,72.7%,69.2%,9.0%,18.3%,2.2%,0.5%,0.9%,,,397,"133,842","29,543","101,663","2,636",62143,165405,,,-24.9,"61,786","175,883",-26.0,"70,543","165,899",-23.9,700735,459185,63876,151047,14623,3111,8893,518256,358575,46424,94967,11167,2362,4761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah 1st,UT-01,Rob,Bishop,(RAHB BIH-shoop) [OO as in good],/ɹɑb 'bɪ.ʃʊp/,1951,Mormon,2002,27.9%,64.6%,R+,27,20.9%,79.1%,R+,31,30.3%,69.7%,R+,23,30.2%,69.8%,25.7%,74.3%,84.8%,1.0%,10.2%,1.9%,0.9%,1.2%,,,398,"130,341","36,422","84,231","9,688",60611,175487,,,-27.3,"51,098","193,672",-31.1,"69,594","160,433",-23.4,692099,573688,6533,81381,11728,6139,12630,467487,396442,4458,47836,8900,4257,5594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah 2nd,UT-02,Chris,Stewart,(KRISS STOO-ert),/kɹɪs 'stu.əɹt/,1960,Mormon,2012,32.9%,61.4%,R+,18,30.1%,69.9%,R+,22,39.6%,60.4%,R+,14,34.9%,65.1%,35.0%,65.0%,80.9%,1.0%,12.5%,3.5%,0.9%,1.2%,,,399,"144,695","47,585","88,915","8,195",83176,154523,,,-18.0,"74,556","173,513",-21.9,"94,123","143,331",-14.0,687939,537386,7660,100891,23309,6109,12584,484976,392132,4859,60768,17011,4269,5937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah 3rd,UT-03,Jason,Chaffetz,(JAY-suhn CHAY-fits),/'dʒeɪ.sən 'tʃeɪ.fɪts/,1967,Mormon,2008,22.5%,72.2%,R+,28,19.9%,80.1%,R+,32,30.4%,69.6%,R+,23,23.7%,76.3%,23.4%,76.6%,85.7%,0.5%,8.6%,2.5%,1.5%,1.3%,,,400,"142,580","32,059","102,952","7,569",60719,198828,,,-27.7,"51,791","208,121",-32.0,"73,625","168,358",-23.3,694412,583303,3748,67323,15969,10614,13455,474644,406992,2238,40634,11672,6991,6117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah 4th,UT-04,Mia,Love,(MEE-uh LUHV),/'mi.ə lʌv/,1975,Mormon,2014,45.8%,50.9%,R+,16,31.0%,69.0%,R+,21,42.2%,57.8%,R+,12,47.4%,52.6%,50.2%,49.8%,79.0%,1.0%,14.0%,4.1%,0.6%,1.3%,,,401,"147,168","67,425","74,936","4,807",119803,119035,,,-16.2,"74,368","165,294",-20.9,"90,328","123,909",-11.5,689428,527335,8010,108745,27079,4219,14040,465748,367999,4852,65256,18894,2921,5826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont At-Large,VT-AL,Peter,Welch,(PEE-ter WELCH),/'pi.ɾəɹ wɛltʃ/,1947,Roman Catholic,2006,64.4%,31.0%,D+,16,68.2%,31.8%,D+,16,68.9%,31.1%,D+,15,67.5%,32.5%,75.6%,24.4%,95.2%,0.8%,1.3%,1.2%,0.3%,1.2%,,,402,"191,504","123,349","59,432","8,723",209312,67543,,,15.7,"199,239","92,698",16.3,"219,262","98,974",15.2,625741,590223,5943,9208,8015,2023,10329,496508,472559,3840,6328,5993,1619,6169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia 1st,VA-01,Rob,Wittman,(RAHB WITT-min),/ɹɑb 'wiθ.mɪn/,1959,Episcopalian,2007*,34.4%,62.9%,R+,6,46.2%,53.8%,R+,6,47.3%,52.7%,R+,6,35.3%,64.7%,42.3%,57.7%,71.1%,16.3%,7.2%,3.3%,0.4%,1.7%,,,403,"209,621","72,059","131,861","5,701","147,036","200,845",,,-6.1,"166,510","193,647",-5.7,"162,652","181,417",-6.4,725957,496890,120275,61204,24153,2540,20895,542128,385388,88473,38800,18160,1946,9361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia 2nd,VA-02,Scott,Rigell,(SKAHT RIJ-uhl),/skɑt 'ɹɪ.dʒəl/,1960,Protestant,2010,41.1%,58.7%,R+,2,50.8%,49.2%,R+,1,50.9%,49.1%,R+,3,41.2%,58.8%,46.2%,53.8%,66.1%,20.3%,6.0%,5.2%,0.3%,2.1%,,,404,"173,060","71,178","101,558",324,"142,548","166,231",,,-2.0,"159,695","154,935",-1.2,"163,790","158,308",-2.8,727510,460074,154941,50033,36104,2433,23925,565580,373603,115047,33698,29207,1976,12049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia 3rd,VA-03,Bobby,Scott,(BAH-bee SKAHT),/'bɑ.bi skɑt/,1947,Episcopalian,1992,94.4%,0%,D+,27,79.8%,20.2%,D+,28,79.0%,21.0%,D+,25,100%,0%,81.5%,18.5%,35.7%,55.3%,4.6%,2.1%,0.4%,1.9%,,,405,"147,402","139,197",0,"8,205","259,199","58,931",,,26.6,"262,265","66,391",27.8,"258,333","68,627",25.3,728251,234927,420455,37169,13942,3008,18750,560686,200360,309927,25549,11951,2446,10453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
